t,z
8.68,43.290001
8.69,43.48
8.7,43.040001
8.71,43.98
8.72,44.299999
8.73,44.25
8.74,43.48
8.75,44.110001
8.76,43.900002
8.77,43.869999
8.78,43.91
8.79,43.939999
8.8,43.290001
8.81,43.439999
8.82,44.259998
8.83,44.610001
8.84,45.57
8.85,46.630001
8.86,46.75
8.87,46.799999
8.88,47.450001
8.89,47.110001
8.9,47
8.91,46.889999
8.92,46.68
8.93,47.009998
8.94,47.509998
8.95,47.619999
8.96,47.77
8.97,47.200001
8.98,48.029999
8.99,52.869999
9,54.25
9.01,53.689999
9.02,53.98
9.03,53.360001
9.04,52.639999
9.05,53.240002
9.06,54.150002
9.07,54.400002
9.08,54.380001
9.09,54.919998
9.1,54.16
9.11,53.509998
9.12,53.650002
9.13,53.32
9.14,52.84
9.15,53.77
9.16,52.970001
9.17,53.849998
9.18,53.939999
9.19,54.189999
9.2,54.189999
9.21,54.25
9.22,53.689999
9.23,53.93
9.24,54.349998
9.25,55.220001
9.26,55.209999
9.27,54.200001
9.28,55.91
9.29,55.810001
9.3,55.790001
9.31,54.98
9.32,55.27
9.33,54.060001
9.34,55.139999
9.35,55.200001
9.36,56.130001
9.37,55.700001
9.38,54.130001
9.39,54.830002
9.4,55.349998
9.41,55.82
9.42,55.669998
9.43,55.950001
9.44,56.549999
9.45,56.310001
9.46,55.48
9.47,54.799999
9.48,55.049999
9.49,54.049999
9.5,52.169998
9.51,52.330002
9.52,52.299999
9.53,52.779999
9.54,51.639999
9.55,53.110001
9.56,50.990002
9.57,50.560001
9.58,50.790001
9.59,50.48
9.6,52.290001
9.61,51.790001
9.62,52.169998
9.63,51.220001
9.64,52.060001
9.65,55.09
9.66,54.709999
9.67,53
9.68,52.16
9.69,52
9.7,50.16
9.71,49.41
9.72,49.279999
9.73,49.709999
9.74,49.689999
9.75,50.5
9.76,51.09
9.77,52.419998
9.78,52.189999
9.79,51.82
9.8,52.650002
9.81,51.18
9.82,51.360001
9.83,52.099998
9.84,51.299999
9.85,50.880001
9.86,52.580002
9.87,52.950001
9.88,52.349998
9.89,52.029999
9.9,51.029999
9.91,51.650002
9.92,52.84
9.93,52.049999
9.94,53.07
9.95,53.169998
9.96,53.59
9.97,54.349998
9.98,54.66
9.99,53.490002
10,53.860001
10.01,54.07
10.02,53.970001
10.03,54.209999
10.04,53.540001
10.05,54.709999
10.06,55.049999
10.07,55.23
10.08,55.57
10.09,55.43
10.1,54.560001
10.11,55.119999
10.12,54.459999
10.13,54.419998
10.14,54.310001
10.15,54.650002
10.16,55.349998
10.17,55.360001
10.18,55.650002
10.19,56.459999
10.2,56.389999
10.21,55.59
10.22,55.779999
10.23,51.779999
10.24,52.110001
10.25,51.439999
10.26,50.939999
10.27,49.900002
10.28,49.869999
10.29,50.610001
10.3,49.779999
10.31,49.869999
10.32,49.939999
10.33,50.389999
10.34,50.07
10.35,51.02
10.36,51.049999
10.37,51.509998
10.38,51.080002
10.39,51.830002
10.4,50.509998
10.41,50.810001
10.42,50.32
10.43,50.619999
10.44,50.029999
10.45,51.59
10.46,52.119999
10.47,51.889999
10.48,52.32
10.49,53
10.5,52.849998
10.51,52.48
10.52,51.790001
10.53,52.130001
10.54,52.099998
10.55,52.040001
10.56,51.619999
10.57,51.48
10.58,50.139999
10.59,49.830002
10.6,49.689999
10.61,50.389999
10.62,50.130001
10.63,50.07
10.64,51.189999
10.65,50.990002
10.66,51.91
10.67,49.830002
10.68,48.43
10.69,49.439999
10.7,50.540001
10.71,51.169998
10.72,51.16
10.73,51.169998
10.74,51.380001
10.75,51.380001
10.76,52.299999
10.77,52.59
10.78,53.209999
10.79,53.509998
10.8,53.740002
10.81,53.700001
10.82,53.959999
10.83,53.09
10.84,55.91
10.85,55.799999
10.86,56.57
10.87,56.73
10.88,56.759998
10.89,56.189999
10.9,56.209999
10.91,56.68
10.92,56.580002
10.93,56.580002
10.94,56.970001
10.95,57.389999
10.96,57.959999
10.97,58.060001
10.98,58.200001
10.99,58.02
11,58.299999
11.01,57.939999
11.02,58.119999
11.03,57.439999
11.04,57.560001
11.05,57.599998
11.06,57.619999
11.07,57.669998
11.08,57.889999
11.09,57.950001
11.1,58.169998
11.11,58.029999
11.12,58.099998
11.13,57.889999
11.14,57.459999
11.15,57.59
11.16,57.669998
11.17,57.610001
11.18,57.66
11.19,57.43
11.2,56.209999
11.21,57.049999
11.22,56.529999
11.23,56.259998
11.24,57.189999
11.25,57.25
11.26,56.93
11.27,56.810001
11.28,57.759998
11.29,57.82
11.3,57.43
11.31,56.900002
11.32,57.950001
11.33,58.029999
11.34,57.400002
11.35,57.599998
11.36,57.419998
11.37,57.240002
11.38,57.639999
11.39,57.740002
11.4,57.799999
11.41,58.040001
11.42,57.189999
11.43,57.110001
11.44,56.919998
11.45,57.419998
11.46,57.220001
11.47,57.66
11.48,57.529999
11.49,57.25
11.5,59.66
11.51,61
11.52,60.990002
11.53,60.630001
11.54,60.099998
11.55,59.869999
11.56,59.919998
11.57,59.799999
11.58,59.43
11.59,59.209999
11.6,58.709999
11.61,60.419998
11.62,60.470001
11.63,60.169998
11.64,58.700001
11.65,59.02
11.66,58.119999
11.67,58.869999
11.68,59.650002
11.69,60.639999
11.7,60.349998
11.71,60.860001
11.72,61.119999
11.73,60.400002
11.74,60.529999
11.75,60.610001
11.76,61.09
11.77,60.259998
11.78,59.200001
11.79,59.25
11.8,60.220001
11.81,59.950001
11.82,61.369999
11.83,61.009998
11.84,61.970001
11.85,62.169998
11.86,62.98
11.87,62.68
11.88,62.580002
11.89,62.299999
11.9,63.619999
11.91,63.540001
11.92,63.540001
11.93,63.549999
11.94,63.240002
11.95,63.279999
11.96,62.990002
11.97,62.900002
11.98,62.139999
11.99,62.580002
12,62.299999
12.01,62.299999
12.02,62.84
12.03,62.639999
12.04,62.619999
12.05,63.189999
12.06,62.610001
12.07,62.700001
12.08,62.529999
12.09,62.5
12.1,62.299999
12.11,62.740002
12.12,62.959999
12.13,63.52
12.14,63.68
12.15,64.269997
12.16,65.779999
12.17,65.129997
12.18,64.650002
12.19,63.580002
12.2,63.169998
12.21,63.68
12.22,63.639999
12.23,63.43
12.24,63.34
12.25,64.059998
12.26,64
12.27,64.720001
12.28,64.57
12.29,64.529999
12.3,64.519997
12.31,64.620003
12.32,64.489998
12.33,64.360001
12.34,64.620003
12.35,64.620003
12.36,64.230003
12.37,63.98
12.38,64.940002
12.39,64.010002
12.4,64.25
12.41,64.269997
12.42,64.400002
12.43,64.989998
12.44,64.730003
12.45,64.93
12.46,64.709999
12.47,64.410004
12.48,64.75
12.49,64.639999
12.5,64.870003
12.51,64.93
12.52,64.209999
12.53,65.029999
12.54,64.870003
12.55,64.980003
12.56,65.099998
12.57,65.290001
